web-scraper-order|web-scraper-start-url|all_titles|bed|bath|location|size|streeteasylink|streeteasylink-href|price|amenities|available|listed_date|description|build_amenities|nearby_transportation|nearby_transportation_2
1558757085-1748|https://streeteasy.com/for-rent/downtown?page=86&sort_by=sqft_desc|20 Pine Street #1607|0 bed|1 bath|Condo in Financial District|675 ft²|20 Pine Street #1607|https://streeteasy.com/building/20-pine-the-collection/1607|$3,250                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman|6/15/2019|53 Days|675 sq ft studio features 10.5 beamed ceilings, oversize windows with Southern exposure and views of the NYSE, elegant kitchen with concealed appliances, w/d, ebony stained hardwood floors, beautiful stone bathrooms with bathtub and shower. RENT INCLUDES PRIVATE STORAGE AND AMENITIES. Building amenities include: library, roof terrace with reflecting pool, spa with Turkish hamman, pool, fitness center, golf simulation room, billiards room, club lounge with health bar.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Live-in Super                                              Media Room                                              Package Room                                              Parking Available                                              Storage Available                                              Swimming Pool                                              Virtual Doorman|2          3                   at Wall St            under 500 feet|4          5                   at Wall St            0.12 miles
1558756960-1704|https://streeteasy.com/for-rent/downtown?page=88&sort_by=sqft_desc|400 Park Avenue South #23G|0 bed|1 bath|Condo in NoMad|664 ft²|400 Park Avenue South #23G|https://streeteasy.com/building/400-park-avenue-south-new_york/23g|$4,200                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|6/20/2019|Listed Today|A large studio in an amenity-rich new development condo in the heart of NoMad. At 664sqft, this studio is bigger than some one bedrooms. The efficient open space easily affords a separate dining and sleeping area. Southern light pours into the open living space featuring high ceilings, white oak floors, and floor-to-ceiling windows. The Italian made kitchen, complete with Pedini glass-faced cabinetry and Miele appliances, blends seamlessly into the airy and open space. The bathroom offers a sense of warmth and luxury with its heated limestone floors and Grigio Tucci marble vanity with Pedini walnut cabinetry. The in-unit washer/dryer and the motorized window shades complete the package for a modern and stylish living. At your doorstep, there is a wide range of amenities rivaling a 5-star hotel: a swimming pool, sauna, steam room, fitness center, virtual golf, spinning studio, yoga room, screening room, private storage, lounge and landscaped 27th floor terrace. This is a green building and is projected to receive LEED certification. The building is located in prime Flatiron with multiple subway lines nearby. The Madison Square Park and a wide range of restaurants and bars are within walking distance.|Children's Playroom                                              Cold Storage                                              Concierge                                              Gym                                              Media Room                                              Package Room                                              Swimming Pool|6                   at 28th St            under 500 feet|6                   at 23rd St            0.24 miles
1558667840-114|https://streeteasy.com/for-rent/downtown?page=4&sort_by=sqft_desc|77 West 24th Street #22D|1 bed|1 bath|Rental Unit in Flatiron|715 ft²|77 West 24th Street #22D|https://streeteasy.com/building/the-vanguard-chelsea/rental/2611482?featured=1|↓              $5,520                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed|Available Now|147 Days|The Vanguard is a LEED Platinum full service luxury rental tower featuring unsurpassed finishes, services and amenities.We invite you to experience our newly designed collection of homes at The Vanguard! Inspired by COOK+FOX Architects' vision to deliver the most sophisticated and sustainable designs, our new collection displays an elevated level of living.This highly coveted home features unobstructed and panoramic views of the Manhattan skyline and Hudson River!The newly refined interiors feature open kitchen designs in a light bone palette to reflect timeless elegance.This home has an exceptionally large kitchen with a custom designed floor-to-ceiling pantry, a textured ceramic tile backsplash accompanied with a solid Quartz countertop.This residence also has a bath that is accented with a timeless Botticino marble framed with a Pietra Grey marble stone trim and an elegant oak vanity.Located at the crossroads of Chelsea and Flatiron, the Vanguard's neighborhood boasts the best restaurants, retailers, culture, museums, art galleries and recreational opportunities. Building features include:Sophisticated, contemporary lobby with geometric pattern limestone floor, mahogany columns and limestone concierge console24-hour conciergeResidents-only fully equipped fitness center and aerobics room4,000 sq. ft. landscaped terraceConference roomHi-speed Internet and telephone access (three providers)Cable TVWiFiTelephonic intercom system/multiple phone lines per residenceBicycle room and individual resident storage24-hour parking garage with valet attendantMaid and valet servicesUnsurpassed level of service Schedule your appointment today by contacting our on-site leasing gallery!|Bike Room                                              Concierge                                              Garage Parking                                              Green Building                                              Gym                                              Laundry in Building                                              Live-in Super                                              Package Room                                              Parking Available                                              Storage Available|PATH                   at 23rd Street Station            under 500 feet|F          M                   at 23rd St            under 500 feet
1558668010-164|https://streeteasy.com/for-rent/downtown?page=1&sort_by=sqft_desc|211 North End Avenue #16Q|1 bed|1 bath|Rental Unit in Battery Park City|750 ft²|211 North End Avenue #16Q|https://streeteasy.com/building/the-verdesian/16q?featured=1|$4,595                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|71 Days|Green By Design. No Fee Luxury Rentals Located in Downtown Manhattans most desirable waterfront neighborhood, Battery Park City, The Verdesian defines luxury, green living. At The Verdesian, our commitment to smarter living allows you to enjoy a healthier lifestyle while making a positive impact on our planet. Rising 26 stories, The Verdesian is the first LEED Platinum high-rise residential rental building in the nation and has become an important model for green construction around the world. Consisting of elegantly appointed studio- three bedroom homes, residences offer a blend of sophistication and sustainability. All environmentally sound apartments feature expansive layouts, naturally harvested building materials and innovative design features, providing abundant light, cleaner air, filtered water, and greater energy efficiency. Residents of The Verdesian enjoy unparalleled lifestyle services and amenities. Building amenities include 24-hour concierge service, landscaped roof terrace with organic herb gardens, children's playroom featuring classes hosted by Creative Play, residents fitness center with complimentary daily classes and on-site parking with electric vehicle charging stations.|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Garage Parking                                              Green Building                                              Gym                                              Laundry in Building                                              Live-in Super                                              Parking Available                                              Storage Available|Ferry                   at World Financial Center Ferry Landing            0.12 miles|A          C          E          2          3          PATH                   at World Trade Center            0.38 miles
1558667718-79|https://streeteasy.com/for-rent/downtown?page=6&sort_by=sqft_desc|105 W 29th Street #49I|1 bed|1 bath|Rental Unit in Chelsea|620 ft²|105 W 29th Street #49I|https://streeteasy.com/building/beatrice-105-west-29th-street-new_york/49i?featured=1|↓              $4,981                for rent|Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|59 Days|NO BROKER FEES. Located between Manhattan's Chelsea and NoMad neighborhoods, Beatrice is a sleek tower perched atop the Eventi Hotel offering exquisite apartments starting on the 26th floor. With gracious layouts, ultra-luxurious interior appointments and iconic river and city views through expansive walls of windows, Beatrice represents a new level of sophisticated city living. Amenities include a 24-hour concierge, fitness center, yoga studio and an exclusive Cloud Lounge and sun deck. Residents will also enjoy on-site hotel amenities including farm-to-table restaurant, Humphrey, and a dynamic urban park space featuring seasonal art installations and events.|Community Recreation Facilities                                              Concierge                                              Garage Parking                                              Gym                                              Laundry in Building                                              Live-in Super                                              Parking Available                                              Virtual Doorman|N          R          W                   at 28th St            0.15 miles|PATH                   at 33rd Street Station            0.17 miles
1558667723-80|https://streeteasy.com/for-rent/downtown?page=6&sort_by=sqft_desc|610 E 20th Street #4H|1 bed|1 bath|Rental Unit in Stuyvesant Town/PCV|764 ft²|610 E 20th Street #4H|https://streeteasy.com/building/610-east-20-street-new_york/04h?featured=1|↓              $3,537                for rent|Elevator                                                                                                                                                  Pets Allowed|7/8/2019|21 Days|StuyTown and Peter Cooper Village is the perfect intersection of price, space, and location with modern, spacious apartments and beautifully landscaped grounds set within an 80 acre backyard. The 80 acres of landscaped green space is the largest green setting outside of Central Park and the benefits of StuyTown extend to the apartments as well, providing residents the best of both worlds a high-energy downtown lifestyle and a quiet community feel. Located near the East Village, Union Square, & Gramercy, dining, entertainment, and shopping are among the best in the city. Enjoy hip restaurants, nightlife, and hidden gems in any direction.|Laundry in Building                                              Virtual Doorman|L                   at 1st Av            0.22 miles|L                   at 3rd Av            0.46 miles
1558667486-33|https://streeteasy.com/for-rent/downtown?page=9&sort_by=sqft_desc|2 Gold #4210|1 bed|1 bath|Rental Unit in Financial District|720 ft²|2 Gold #4210|https://streeteasy.com/building/2-gold-street-new_york/4210?featured=1|↓              $3,700                for rent|Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Pets Allowed|Available Now|17 Days|Amazing bright one bed on a high floor. Stunning views in the this corner unit. This is a lease break with an option to sign for a brand  brand new 12 month lease.High floor and all the amenities included. Swimming pool, rooftop, laundry rooms, childrensplace and laundry available|Bike Room                                              Children's Playroom                                              Community Recreation Facilities                                              Concierge                                              Gym                                              Laundry in Building                                              Live-in Super                                              Media Room                                              Package Room                                              Parking Available                                              Swimming Pool|2          3                   at Wall St            0.14 miles|A          C          J          Z          2          3          4          5                   at Fulton St-Broadway-Nassau            0.21 miles
1558757846-1827|https://streeteasy.com/for-rent/downtown?page=59&sort_by=sqft_desc|275 Greenwich Street #7CS|1 bed|1 bath|Condo in Tribeca|900 ft²|275 Greenwich Street #7CS|https://streeteasy.com/building/greenwich-court-275-greenwich-street-new_york/7cs|$5,250                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Full-time Doorman                                                                                                                                                  Washer/Dryer In-Unit|Available Now|28 Days|HUGE TriBeCa Jr. 4 – 1Br, 1.5BaRarely available, junior 4 (1-bedroom, 1.5 bathroom) in Tribeca's Greenwich Court Condominium. 7CS features an open and modern floor-plan. The chef's kitchen has a Fisher Paykel stove, Liebherr fridge, Bosch dishwasher, marble counters and ample cabinet storage. A breakfast bar, living room, and separate dining area creates a spacious and lived-in feeling. The master bedroom runs the length of the apartment and has an en-suite bathroom with glass subway tiles, deep soaking tub, and AXOR bathroom fixtures. Sunny Western exposure, customized lighting and teak wood plank flooring throughout. Washer/dryer in unit, as well as central laundry room in basement.The building features include a full-time doorman, common courtyard and roof deck. For added convenience, the apartment comes with a private storage unit. Located seconds from Whole Foods, Target, Bed Bath and Beyond, Barnes and Noble, Brookfield Place, Hudson River Park, and the Freedom Tower. Unbeatable convenience to express subways and buses, amazing restaurants, shops, galleries and health clubs.|Bike Room                                              Laundry in Building                                              Live-in Super                                              Storage Available|A          C          E          1          2          3                   at Chambers St            0.13 miles|A          C          E          2          3          PATH                   at World Trade Center            0.17 miles
1558758094-1927|https://streeteasy.com/for-rent/downtown?page=54&sort_by=sqft_desc|1182 Broadway #9C|1 bed|1 bath|Condo in NoMad|980 ft²|1182 Broadway #9C|https://streeteasy.com/building/the-centurian/9c|↓              $6,295                for rent|Doorman                                                                                                                                                  Elevator                                                                                                                                                  Pets Allowed                                                                                                                                                  Washer/Dryer In-Unit|Available Now|21 Days|Massive Gut Renovated Loft With Condo Finishes In A Boutique Doorman Building! NO BROKER'S FEE, NO Board Package.Elegantly Reimagined Dream Loft/One Bedroom with king sized sleeping alcove! Massive original copper windows throughout the living space. Apartment 9C is truly a unique gem in a landmarked building!Original details have been maintained, while a selection of new high end materials have been meticulously curated and integrated to create the perfect home! The Centurian Building has old world charm and craftsmanship which cannot be duplicated. All residences feature top of the line interior decor including American Walnut stained flooring, 10' ceilings and recessed lighting throughout. Each home comes with a Bosch washer and dryer, custom moldings and millwork throughout, along with oversized, restored copper window frames. The gourmet kitchens feature custom white cabinetry and bright white Caesarstone countertops, along with a glass tile backsplash, paneled Sub-Zero refrigerators, Bosch cooktop and wall oven, Broan chimney hood, and paneled Bosch dishwasher. Bathrooms feature Calacatta, Statuary and Carrara mosaic tile floors and walls, Zuma deep soaking tub, custom Wenge vanities with marble countertops.|Bike Room                                              Cold Storage                                              Community Recreation Facilities                                              Concierge                                              Laundry in Building                                              Live-in Super                                              Package Room|N          R          W                   at 28th St            under 500 feet|PATH                   at 33rd Street Station            0.25 miles
1558757783-1808|https://streeteasy.com/for-rent/downtown?page=60&sort_by=sqft_desc|180 West Houston Street #3B|1 bed|1 bath|Co-op in West Village|900 ft²|180 West Houston Street #3B|https://streeteasy.com/building/180-west-houston-street-new_york/3b|$4,950                for rent|Cats and Dogs Allowed                                                                                                                                                  Elevator                                                                                                                                                  Part-time Doorman|6/1/2019|Listed Today|Triple exposure one bedroom (can be flex2 bedrooms) in a sought after building/location!Super spacious bright 2 bedrooms with double exposure king size bedrooms, ample closet space, large living room, dining area, full ss appliances windowed kitchen, hardwood floor. A perfectly maintained building, part-time doorman, super live in, beautiful sun deck and a beautiful garden on Bedford St.Located in a prime West Village location!|Co-purchase Allowed                                      Gifts Allowed                                      Guarantors Allowed                                      Parents Buying Allowed                                      Pied-a-Terre Allowed                                      Sublets Allowed|1                   at Houston St            under 500 feet|C          E                   at Spring St            0.21 miles
